一级模块,二级功能,功能点/检查项,规划侧说明,我方实现状态,证据/对应页面或模块,缺口说明,优先级,建议动作
目标与数据,项目边界,项目开始前明确业务目标、问题集、行业/品牌边界,白帽GEO先划清边界,待核验,,需要读取当前系统菜单/代码后确认是否有项目目标配置能力,P0,核验并补充项目配置入口
目标与数据,问题集管理,确定目标问题集/关键词/用户提问集合,实操第1步：确定目标和问题集,待核验,,需要确认是否支持问题集导入、分组、版本管理,P0,核验问题集管理能力
目标与数据,AI搜索基线诊断,对AI搜索结果进行初始诊断并形成基线,第2步：做AI搜索基线诊断,待核验,,需要确认是否有AI搜索抓取、品牌提及、引用源、答案变化监测,P0,核验诊断和监测模块
目标与数据,反馈采集,知道现状并拿到反馈,数据核心要素：知道现状，拿到反馈,待核验,,需要确认是否有反馈闭环、人工标注、结果复盘记录,P1,补充反馈记录/标注能力
知识库,品牌事实母库,建立品牌事实母库,第3步：建立品牌事实母库,待核验,,需要确认是否有品牌资料、事实卡片、证据来源、版本控制,P0,核验知识库结构
知识库,知识库上传,整理并上传GEOFlow知识库,第4步：整理并上传知识库,待核验,,需要确认是否支持文件上传、网页导入、结构化资料管理,P0,核验知识库导入能力
知识库,知识库体量,避免知识库资料太少,误区2：知识库资料太少,待核验,,需要确认是否有知识库完整度、覆盖率、缺口提示,P2,增加资料覆盖度指标
知识库,第三方信源,纳入第三方可信来源,误区4：忽略第三方信源,待核验,,需要确认是否能管理外部引用源、媒体源、行业站点,P1,增加第三方信源管理
内容,内容质量底座,围绕GEO质量底座建设内容,内容核心要素：GEO的质量底座,待核验,,需要确认是否有内容质量评分、事实一致性、引用可用性检测,P0,核验内容质检能力
内容,AI引用结构设计,设计适合AI引用的内容结构,第6步：设计适合AI引用的内容结构,待核验,,需要确认是否支持FAQ、实体卡、对比表、schema结构化内容,P0,补充AI友好内容模板
内容,草稿生成,生成内容草稿,第7步：生成草稿,待核验,,需要确认是否有AI写作/改写/批量生成,P1,核验内容生产模块
内容,人工审核,生成草稿后人工审核,第7步：生成草稿后做人工审核,待核验,,需要确认是否有审核流、状态流转、审批记录,P0,补充审核工作流
内容,模板复用,可直接复用的GEOFlow工作模板,第10项：工作模板,待核验,,需要确认是否有模板库、行业模板、内容结构模板,P2,沉淀模板库
模型与配置,模型配置,配置模型,第5步：配置模型、素材和提示词,待核验,,需要确认是否支持多模型配置、供应商、参数、调用记录,P1,核验模型配置模块
模型与配置,素材配置,配置素材,第5步：配置模型、素材和提示词,待核验,,需要确认是否有素材库、素材标签、内容引用,P2,核验素材管理能力
模型与配置,提示词配置,配置提示词,第5步：配置模型、素材和提示词,待核验,,需要确认是否有提示词库、变量、版本、测试,P1,补充提示词管理
分发,AI可见位置投放,把内容放到AI会看、会信的位置,投放核心要素：AI会看、会信的位置,待核验,,需要确认是否有渠道策略、投放位置推荐、站点权重管理,P0,核验分发/投放模块
分发,分发策略,用分发策略放大内容价值,第8步：用分发策略放大内容价值,待核验,,需要确认是否有渠道计划、发布排期、分发任务,P0,核验分发策略能力
分发,多渠道发布,避免同一文章复制到很多渠道,误区3：把同一篇文章复制到很多渠道,待核验,,需要确认是否支持按渠道改写、差异化发布、去重策略,P1,补充分渠道内容适配
分发,自动发布控制,避免自动生成后直接发布,误区5：自动生成后直接发布,待核验,,需要确认是否有发布前审核、发布权限、风险校验,P0,补充发布管控
评估,前端指标,监测AI答案是否变化,效果评估：前端指标，AI答案有没有变化,待核验,,需要确认是否有AI答案快照、趋势、对比,P0,核验AI答案监测
评估,直接效果,衡量用户是否进入业务链路,效果评估：直接效果，用户是否进入业务链路,待核验,,需要确认是否关联线索、转化、访问、咨询等业务数据,P0,核验转化追踪
评估,间接效果,衡量GEO对整体营销协同提升,效果评估：间接效果,待核验,,需要确认是否有营销协同指标、品牌曝光、渠道贡献,P2,定义间接效果指标
评估,品牌提及,不能只看AI是否提到品牌,误区6：只看AI是否提到品牌,待核验,,需要确认是否区分提及、排名、引用、情绪、推荐强度,P1,完善品牌指标体系
评估,文章数量指标,避免只看文章数量,误区1：只看文章数量,待核验,,需要确认是否有质量、引用、转化指标而非仅内容量,P1,调整指标口径
项目管理,30天路线图,按4周推进诊断、知识库、生产、自有站发布、分发、监测和复盘,第7项：30天落地路线图,待核验,,需要确认是否有项目计划、里程碑、任务看板,P1,补充项目路线图模板
项目管理,第1周诊断准备,诊断和准备,第1周：诊断和准备,待核验,,需要确认是否有启动清单和诊断任务模板,P2,补充周计划模板
项目管理,第2周知识库模板,知识库和模板,第2周：知识库和模板,待核验,,需要确认是否有知识库搭建任务模板,P2,补充周计划模板
项目管理,第3周内容发布,内容生产和自有站发布,第3周：内容生产和自有站发布,待核验,,需要确认是否支持内容生产到发布闭环,P1,串联内容和发布流程
项目管理,第4周分发复盘,分发、监测和复盘,第4周：分发、监测和复盘,待核验,,需要确认是否有复盘报告、任务闭环,P1,补充复盘报告
项目管理,启动清单,目标和数据、知识库、内容、分发、评估五类启动清单,GEOFlow项目启动清单,待核验,,需要确认是否内置启动检查清单,P1,补充项目启动清单
